DB,UT,DI,PMID,TI,SO,JI,PY,DT,LA,TC,AU,AF,C1,RP,CR,DE,ID,AB,VL,IS,BP,EP,SR,AU_UN,AU1_UN,SN,PU,OA,OI,EM,FU,FX,SC,WC
Scopus,Yang2024,10.1186/s12877-024-05003-3,,Effectiveness of inactivated influenza vaccine against laboratory-confirmed influenza among Chinese elderly: a test-negative design,BMC GERIATRICS,BMC Geriatrics,2024,,,0,"['Yang T', 'Tang L', 'Li P', 'Li B', 'Ye L', 'Zhou J']","['Yang Tianchi', 'Tang Ling', 'Li Pingping', 'Li Baojun', 'Ye Lixia', 'Zhou Jifang']",[],,[],"['Elderly', 'Healthcare visit', 'Influenza', 'Test-negative', 'Vaccine effectiveness']",[],"Background: Evidence on the effectiveness of influenza vaccination in the elderly is limited, and results are controversial. There are also few reports from China. Methods: We conducted a test-negative case-control study design to estimate influenza vaccine effectiveness (VE) against laboratory-confirmed influenza-associated visits among elderly (aged ≥ 60 years) across four influenza seasons in Ningbo, China, from 2018 to 19 to 2021-22. Influenza-positive cases and negative controls were randomly matched in a 1:1 ratio according to age, sex, hospital, and date of influenza testing. We used logistic regression models to compare vaccination odds ratios (ORs) in cases to controls. We calculated the VE as [100% × (1-adjusted OR)] and calculated the 95% confidence interval (CI) around the estimate. Results: A total of 30,630 elderly patients tested for influenza with virus nucleic acid or antigen during the study period. After exclusions, we included 1 825 influenza-positive cases and 1 825 influenza-negative controls. Overall, the adjusted VE for influenza-related visits was 63.5% (95% CI, 56.3–69.5%), but varied by season. Influenza VE was 59.8% (95% CI, 51.5–66.7%) for influenza A and 89.6% (95% CI, 77.1–95.3%) for influenza B. The VE for ages 60–69 and 70–79 was 65.2% (95% CI, 55.4–72.9%) and 69.8% (95% CI, 58.7–77.9%), respectively, but only 45.4% (95% CI, 6.2–68.2%) for ages 80 and over. Conclusions: Standard-dose inactivated influenza vaccine has shown good protection in the elderly in China. However, protection may not be satisfactory in people aged 80 years and older. © The Author(s) 2024.",24,1,,,"Yang T., 2024, BMC Geriatrics",[],,14712318,BioMed Central Ltd,,[],[],,,[],[]
Scopus,Olsen2024,10.1186/s12902-024-01595-4,,Summary of clinical investigation plan for The DIATEC trial: in-hospital diabetes management by a diabetes team and continuous glucose monitoring or point of care glucose testing – a randomised controlled trial,BMC ENDOCRINE DISORDERS,BMC Endocrine Disorders,2024,,,0,"['Olsen MT', 'Klarskov CK', 'Pedersen-Bjergaard U', 'Hansen KB', 'Kristensen PL']","['Olsen Mikkel Thor', 'Klarskov Carina Kirstine', 'Pedersen-Bjergaard Ulrik', 'Hansen Katrine Bagge', 'Kristensen Peter Lommer']",[],,[],"['Continuous glucose monitoring', 'Diabetes', 'In-hospital', 'Inpatient', 'RCT']",[],"Background: Worldwide, up to 20 % of hospitalised patients have diabetes mellitus. In-hospital dysglycaemia increases patient mortality, morbidity, and length of hospital stay. Improved in-hospital diabetes management strategies are needed. The DIATEC trial investigates the effects of an in-hospital diabetes team and operational insulin titration algorithms based on either continuous glucose monitoring (CGM) data or standard point-of-care (POC) glucose testing. Methods: This is a two-armed, two-site, prospective randomised open-label blinded endpoint (PROBE) trial. We recruit non-critically ill hospitalised general medical and orthopaedic patients with type 2 diabetes treated with basal, prandial, and correctional insulin (N = 166). In both arms, patients are monitored by POC glucose testing and diabetes management is done by ward nurses guided by in-hospital diabetes teams. In one of the arms, patients are monitored in addition to POC glucose testing by telemetric CGM viewed by the in-hospital diabetes teams only. The in-hospital diabetes teams have operational algorithms to titrate insulin in both arms. Outcomes are in-hospital glycaemic and clinical outcomes. Discussion: The DIATEC trial will show the glycaemic and clinical effects of in-hospital CGM handled by in-hospital diabetes teams with access to operational insulin titration algorithms in non-critically ill patients with type 2 diabetes. The DIATEC trial seeks to identify which hospitalised patients will benefit from CGM and in-hospital diabetes teams compared to POC glucose testing. This is essential information to optimise the use of healthcare resources before broadly implementing in-hospital CGM and diabetes teams. Trial registration: Prospectively registered at ClinicalTrials.gov with identification number NCT05803473 on March 27th 2023. © The Author(s) 2024.",24,1,,,"Olsen M.T., 2024, BMC Endocrine Disorders",[],,14726823,BioMed Central Ltd,,[],[],,,[],[]
Scopus,Woldegeorgis2024,10.1186/s12879-024-09366-1,,Mortality and its predictors among human immunodeficiency virus-infected children younger than 15 years receiving antiretroviral therapy in Ethiopia: a systematic review and meta-analysis,BMC INFECTIOUS DISEASES,BMC Infectious Diseases,2024,,,0,"['Woldegeorgis BZ', 'Asgedom YS', 'Gebrekidan AY', 'Kassie GA', 'Borko UD', 'Obsa MS']","['Woldegeorgis Beshada Zerfu', 'Asgedom Yordanos sisay', 'Gebrekidan Amanuel Yosef', 'Kassie Gizachew Ambaw', 'Borko Ushula Deboch', 'Obsa Mohammed Suleiman']",[],,[],"['Antiretroviral therapy', 'Children', 'Ethiopia', 'HIV/AIDS', 'Meta-analysis', 'Predictors', 'Survival']","['Adolescent', 'Anti-HIV Agents', 'Anti-Retroviral Agents', 'Child', 'Child, Preschool', 'Ethiopia', 'Female', 'HIV Infections', 'Humans', 'Incidence', 'Infant', 'Male', 'Risk Factors', 'cotrimoxazole', 'hemoglobin', 'isoniazid', 'nevirapine', 'anti human immunodeficiency virus agent', 'antiretrovirus agent', 'anemia', 'antiretroviral therapy', 'Article', 'cancer staging', 'caregiver', 'CD4 lymphocyte count', 'CD4+ T lymphocyte', 'electronic spreadsheet', 'hemoglobin blood level', 'highly active antiretroviral therapy', 'human', 'Human immunodeficiency virus infection', 'meta analysis', 'mortality', 'opportunistic infection', 'prediction', 'prevalence', 'quality control', 'risk factor', 'rural area', 'sensitivity analysis', 'social worker', 'stunting', 'systematic review', 'treatment failure', 'underweight', 'adolescent', 'child', 'Ethiopia', 'female', 'Human immunodeficiency virus infection', 'incidence', 'infant', 'male', 'mortality', 'preschool child']","Background: Despite antiretroviral treatment (ART), the human immunodeficiency virus (HIV) continues to pose a considerable health burden in resource-poor countries. This systematic review and meta-analysis aimed to determine the pooled incidence density of mortality and identify potential predictors among HIV-infected children receiving ART, from studies conducted in various parts of Ethiopia. Methods: A comprehensive database search was made in Excerpta Medica, PubMed, Web of Science, African Journals Online, Google Scholar, and Scopus. We reported results following the Preferred Reporting Items for Systematic Reviews and Meta-Analysis 2020. Excel Spreadsheet and STATA Version 14 software were used for data abstraction and meta-analysis, respectively. Statistical heterogeneity among studies was assessed using I2 statistics. Meta-regression and subgroup analysis were performed to further explore the sources of statistical heterogeneity. Moreover, publication bias and a leave-out-one sensitivity analysis were performed. Results: Twenty-two articles involving 8,731 participants met inclusion criteria and were included. The pooled incidence density of mortality was 3.08 (95% confidence interval (CI), 2.52 to 3.64) per 100 child years. Predictors of mortality were living in rural areas (hazard ratio (HR), 2.18 [95% CI, 1.20 to 3.98]), poor adherence to ART (HR, 2.85 [95% CI, 1.39 to 5.88]), failure to initiate co-trimoxazole preventive therapy (HR, 2.16 [95% CI, 1.52 to 3.07]), anemia (HR, 2.28 [95% CI, 1.51 to 3.45]), opportunistic infections (HR, 1.52 [95% CI, 1.15 to 2.00]), underweight (HR, 1.74 [95% CI, 1.26 to 2.41]), wasting (HR, 2.54 [95% CI, 1.56 to 4.16]), stunting (HR, 2.02 [95% CI, 1.63 to 2.51]), World Health Organization classified HIV clinical stages III and IV (HR, 1.71 [95% CI, 1.42 to 2.05]), and Nevirapine-based regimens (HR, 3.91 [95% CI, 3.09 to 4.95]). Conclusions: This study found that the overall mortality rate among HIV-infected children after ART initiation was high. Therefore, high-level commitment and involvement of responsible caregivers, healthcare providers, social workers, and program managers are of paramount importance to identify these risk factors and thus enhance the survival of HIV-infected children receiving ART. © The Author(s) 2024.",24,1,,,"Woldegeorgis B.Z., 2024, BMC Infectious Diseases",[],,14712334,BioMed Central Ltd,,[],[],,,[],[]
Scopus,Tavakoli2024,10.1186/s12913-024-11049-1,,"A qualitative study exploring approaches, barriers, and facilitators of the HIV partner notification program in Kerman, Iran",BMC HEALTH SERVICES RESEARCH,BMC Health Services Research,2024,,,0,"['Tavakoli F', 'Dehghan M', 'Haghdoost AA', 'Mirzazadeh A', 'Gouya MM', 'Sharifi H']","['Tavakoli Fatemeh', 'Dehghan Mahlagha', 'Haghdoost Ali Akbar', 'Mirzazadeh Ali', 'Gouya Mohammad Mehdi', 'Sharifi Hamid']",[],,[],"['Counseling', 'HIV', 'Iran', 'Notification', 'Sexual partners']","['Adult', 'Contact Tracing', 'Counseling', 'Female', 'HIV Infections', 'Humans', 'Iran', 'Male', 'Middle Aged', 'Qualitative Research', 'Sexual Partners', 'Social Stigma', 'adult', 'contact examination', 'counseling', 'female', 'human', 'Human immunodeficiency virus infection', 'Iran', 'male', 'middle aged', 'procedures', 'psychology', 'qualitative research', 'sexuality', 'social stigma']","Background: HIV partner notification services can help people living with HIV (PLHIV) to identify, locate, and inform their sexual and injecting partners who are exposed to HIV and refer them for proper and timely counseling and testing. To what extent these services were used by PLHIV and what are the related barriers and facilitators in southeast Iran are not known. So, this study aimed to explore HIV notification and its barriers and facilitators among PLHIV in Iran. Methods: In this qualitative study, the number of 23 participants were recruited from November 2022 to February 2023 including PLHIV (N = 12), sexual partners of PLHIV (N = 5), and staff members (N = 6) of a Voluntary Counseling and Testing (VCT) center in Kerman located in the southeast of Iran. Our data collection included purposive sampling to increase variation. The content analysis was conducted using the Graneheim and Lundman approach. The analysis yielded 221 (out of 322) related codes related to HIV notification, its barriers, and its facilitators. These codes were further categorized into one main category with three categories and nine sub-categories. Results: The main category was HIV notification approaches, HIV notification barriers, and facilitators. HIV notification approaches were notification through clear, and direct conversation, notification through gradual preparation and reassurance, notification due to being with PLHIV, notification through suspicious talking of the physician, and notification due to the behavior of others. Also, the barriers were classified into individual, social, and environmental, and healthcare system barriers and the facilitators were at PLHIV, healthcare staff, and community levels. Stigma was a barrier mentioned by most participants. Also, the main facilitator of HIV notification was social support, especially from the family side. Conclusions: The findings highlighted the multidimensionality of HIV notification emphasizing the importance of tailored support and education to enhance the notification process for PLHIV and their networks. Also, our results show that despite all the efforts to reduce stigma and discrimination in recent years, stigma still exists as a main obstacle to disclosing HIV status and other barriers are the product of stigma. It seems that all programs should be directed towards destigmatization. © The Author(s) 2024.",24,1,,,"Tavakoli F., 2024, BMC Health Services Research",[],,14726963,BioMed Central Ltd,,[],[],,,[],[]
Scopus,Ugwu2024,10.1038/s41598-024-60882-1,,Decoding the impact of night/day shiftwork on well-being among healthcare workers,SCIENTIFIC REPORTS,Scientific Reports,2024,,,0,"['Ugwu LE', 'Idemudia ES', 'Onyedibe MCC']","['Ugwu Lawrence Ejike', 'Idemudia Erhabor Sunday', 'Onyedibe Maria-Chidi Christiana']",[],,[],"['Environmental conditions', 'Physical health', 'Psychological well-being', 'Quality of life', 'Social relationship', 'Social support', 'Work schedule']","['Adult', 'Anxiety', 'Cross-Sectional Studies', 'Depression', 'Female', 'Health Personnel', 'Humans', 'Male', 'Middle Aged', 'Nigeria', 'Quality of Life', 'Shift Work Schedule', 'Social Support', 'Stress, Psychological', 'Surveys and Questionnaires', 'Work Schedule Tolerance', 'adult', 'anxiety', 'cross-sectional study', 'depression', 'female', 'health care personnel', 'human', 'male', 'mental stress', 'middle aged', 'Nigeria', 'psychology', 'quality of life', 'questionnaire', 'shift schedule', 'social support', 'work schedule']","This study delved into the complex effects of work schedules on the well-being of healthcare professionals, spotlighting Nigeria’s medical landscape. A diverse cohort of 387 participants, spanning doctors, nurses, pharmacists, and laboratory technicians or scientists, formed the research base, with the majority being women (67.7%), with a mean age of 34.67 years. Professionals self-reported their predominant schedules to gauge work patterns, classifying them as day or night shifts. The World Health Organization Quality of Life Brief Version (WHOQOL-BREF) tool assessed the quality of life across the physical, psychological, social relationship, and environmental domains. Psychological distress was measured using the Depression, Anxiety, and Stress Scales (DASS), and perceived social support was evaluated via the Multidimensional Scale of Perceived Social Support (MSPSS). A cross-sectional design was adopted, and the study employed moderated mediation analysis using SmartPLS 4.0. The results underscored the significant ramifications of night shifts on environmental and physical well-being. Psychological health and social relationships were better among day shift than night shift workers. There was a pronounced correlation between night shifts and heightened levels of anxiety, stress, and depression. The mediating role of psychological distress and the moderating influence of social support in these relationships were evident. This study offers invaluable insights into the role of work schedules in shaping the well-being of healthcare professionals, emphasising the protective role of social support and the unique challenges faced by migrant health workers. © The Author(s) 2024.",14,1,,,"Ugwu L.E., 2024, Scientific Reports",[],,20452322,Nature Research,,[],[],,,[],[]
Scopus,Scutari2024,10.1038/s41598-024-60937-3,,Inferring skin–brain–skin connections from infodemiology data using dynamic Bayesian networks,SCIENTIFIC REPORTS,Scientific Reports,2024,,,0,"['Scutari M', 'Kerob D', 'Salah S']","['Scutari Marco', 'Kerob Delphine', 'Salah Samir']",[],,[],[],[],"The relationship between skin diseases and mental illnesses has been extensively studied using cross-sectional epidemiological data. Typically, such data can only measure association (rather than causation) and include only a subset of the diseases we may be interested in. In this paper, we complement the evidence from such analyses by learning an overarching causal network model over twelve health conditions from the Google Search Trends Symptoms public data set. We learned the causal network model using a dynamic Bayesian network, which can represent both cyclic and acyclic causal relationships, is easy to interpret and accounts for the spatio-temporal trends in the data in a probabilistically rigorous way. The causal network confirms a large number of cyclic relationships between the selected health conditions and the interplay between skin and mental diseases. For acne, we observe a cyclic relationship with anxiety and attention deficit hyperactivity disorder (ADHD) and an indirect relationship with depression through sleep disorders. For dermatitis, we observe directed links to anxiety, depression and sleep disorders and a cyclic relationship with ADHD. We also observe a link between dermatitis and ADHD and a cyclic relationship between acne and ADHD. Furthermore, the network includes several direct connections between sleep disorders and other health conditions, highlighting the impact of the former on the overall health and well-being of the patient. The average R2 for a condition given the values of all conditions in the previous week is 0.67: in particular, 0.42 for acne, 0.85 for asthma, 0.58 for ADHD, 0.87 for burn, 0.76 for erectile dysfunction, 0.88 for scars, 0.57 for alcohol disorders, 0.57 for anxiety, 0.53 for depression, 0.74 for dermatitis, 0.60 for sleep disorders and 0.66 for obesity. Mapping disease interplay, indirect relationships, and the key role of mediators, such as sleep disorders, will allow healthcare professionals to address disease management holistically and more effectively. Even if we consider all skin and mental diseases jointly, each disease subnetwork is unique, allowing for more targeted interventions. © The Author(s) 2024.",14,1,,,"Scutari M., 2024, Scientific Reports",[],,20452322,Nature Research,,[],[],,,[],[]
Scopus,Viphonephom2024,10.1186/s41182-024-00601-8,,Decentralization and immunization program in a single-party state: the case of the Lao People’s Democratic Republic,TROPICAL MEDICINE AND HEALTH,Tropical Medicine and Health,2024,,,0,"['Viphonephom P', 'Kounnavong S', 'Reinharz D']","['Viphonephom Phonevilay', 'Kounnavong Sengchanh', 'Reinharz Daniel']",[],,[],"['Decentralization', 'Immunization program', 'Lao PDR', 'Lower-middle income country', 'Neo-institutional theory', 'Single-party state']","['article', 'centralization', 'child', 'conceptual framework', 'decentralization', 'government', 'health care system', 'health program', 'health service', 'human', 'immunization', 'in-law', 'Laos', 'law', 'middle income country', 'preventive health service', 'public health', 'semi structured interview', 'social network', 'Southeast Asian', 'vaccination coverage']","Background: The Lao People’s Democratic Republic (Lao PDR), a lower-middle-income country, lags behind other Southeast Asian countries in immunization coverage for children under two years of age. The organization of health services is a key determinant of the functionality of immunization programs. However, this aspect, and in particular its decentralization component of the healthcare system, has never been studied. Methods: A case study in the Lao National Immunization Program was performed using a neo-institutional theory-based conceptual framework, highlighting the structure (rules, laws, resources, etc.) and interpretative schemes (dominant beliefs and ideas) that underlie the state of decentralization of the healthcare system that support the conduct of the immunization program. Twenty-two semi-structured interviews were conducted with representative actors from various government levels, external donors, and civil society, in four provinces. Data were complemented with information retrieved from relevant documents. Results: The Lao healthcare system has a deconcentrated form of decentralization. It has a largely centralized structure, albeit with certain measures promoting the decentralization of its immunization programs. The structure underlying the state of centralization of immunization services provided is coherent with a shared dominant interpretive scheme. However, the rapid economic, technical, and educational changes affecting the country suggest that the coherence between structure and interpretative schemes is bound to change. Conclusion: Unprecedented opportunities to access quality higher education and the use of social networks are factors in Lao PDR that could affect the distribution of responsibilities of the different levels of government for public health programs such as the National Immunization Program. © The Author(s) 2024.",52,1,,,"Viphonephom P., 2024, Tropical Medicine and Health",[],,13488945,BioMed Central Ltd,,[],[],,,[],[]
Scopus,Kim2024,10.1186/s12913-024-11005-z,,Social network analysis for medical narcotics in South Korea: focusing on patients and healthcare organizations,BMC HEALTH SERVICES RESEARCH,BMC Health Services Research,2024,,,0,"['Kim SY', 'Cho NW']","['Kim Sang-Yoon', 'Cho Nam-Wook']",[],,[],"['Controlled substance', 'Drug safety', 'Medical narcotics', 'Narcotics Information Management System', 'Social network analysis']",[],"Background: Medical narcotics must be administered under medical supervision because of their potential for misuse and abuse, leading to more dangerous and addictive substances. The control of medical narcotics requires close monitoring to ensure that they remain safe and effective. This study proposes a methodology that can effectively identify the overprescription of medical narcotics in hospitals and patients. Methods: Social network analysis (SNA) was applied to prescription networks for medical narcotics. Prescription data were obtained from the Narcotics Information Management System in South Korea, which contains all data on narcotic usage nationwide. Two-mode networks comprising hospitals and patients were constructed based on prescription data from 2019 to 2021 for the three most significant narcotics: appetite suppressants, zolpidem, and propofol. Two-mode networks were then converted into one-mode networks for hospitals. Network structures and characteristics were analyzed to identify hospitals suspected of overprescribing. Results: The SNA identified hospitals that overprescribed medical narcotics. Patients suspected of experiencing narcotic addiction seek treatment in such hospitals. The structure of the network was different for the three narcotics. While appetite suppressants and propofol networks had a more centralized structure, zolpidem networks showed a less centralized but more fragmented structure. During the analysis, two types of hospitals caught our attention: one with a high degree, meaning that potential abusers have frequently visited the hospital, and the other with a high weighted degree, meaning that the hospital may overprescribe. For appetite suppressants, these two types of hospitals matched 84.6%, compared with 30.0% for propofol. In all three narcotics, clinics accounted for the largest share of the network. Patients using appetite suppressants were most likely to visit multiple locations, whereas those using zolpidem and propofol tended to form communities around their neighborhoods. Conclusions: The significance of this study lies in its analysis of nationwide narcotic use reports and the differences observed across different types of narcotics. The social network structure between hospitals and patients varies depending on the composition of the medical narcotics. Therefore, these characteristics should be considered when controlling medication with narcotics. The results of this study provide guidelines for controlling narcotic use in other countries. © The Author(s) 2024.",24,1,,,"Kim S., 2024, BMC Health Services Research",[],,14726963,BioMed Central Ltd,,[],[],,,[],[]
Scopus,Tarride2024,10.1186/s13023-024-03193-y,,Scoping review of the recommendations and guidance for improving the quality of rare disease registries,ORPHANET JOURNAL OF RARE DISEASES,Orphanet Journal of Rare Diseases,2024,,,0,"['Tarride J', 'Okoh A', 'Aryal K', 'Prada C', 'Milinkovic D', 'Keepanasseril A', 'Iorio A']","['Tarride J.E.', 'Okoh A.', 'Aryal K.', 'Prada C.', 'Milinkovic Deborah', 'Keepanasseril A.', 'Iorio A.']",[],,[],"['Guidance', 'Quality standards', 'Rare diseases', 'Registries']",[],"Background: Rare disease registries (RDRs) are valuable tools for improving clinical care and advancing research. However, they often vary qualitatively, structurally, and operationally in ways that can determine their potential utility as a source of evidence to support decision-making regarding the approval and funding of new treatments for rare diseases. Objectives: The goal of this research project was to review the literature on rare disease registries and identify best practices to improve the quality of RDRs. Methods: In this scoping review, we searched MEDLINE and EMBASE as well as the websites of regulatory bodies and health technology assessment agencies from 2010 to April 2023 for literature offering guidance or recommendations to ensure, improve, or maintain quality RDRs. Results: The search yielded 1,175 unique references, of which 64 met the inclusion criteria. The characteristics of RDRs deemed to be relevant to their quality align with three main domains and several sub-domains considered to be best practices for quality RDRs: (1) governance (registry purpose and description; governance structure; stakeholder engagement; sustainability; ethics/legal/privacy; data governance; documentation; and training and support); (2) data (standardized disease classification; common data elements; data dictionary; data collection; data quality and assurance; and data analysis and reporting); and (3) information technology (IT) infrastructure (physical and virtual infrastructure; and software infrastructure guided by FAIR principles (Findability; Accessibility; Interoperability; and Reusability). Conclusions: Although RDRs face numerous challenges due to their small and dispersed populations, RDRs can generate quality data to support healthcare decision-making through the use of standards and principles on strong governance, quality data practices, and IT infrastructure. © The Author(s) 2024.",19,1,,,"Tarride J., 2024, Orphanet Journal of Rare Diseases",[],,17501172,BioMed Central Ltd,,[],[],,,[],[]
Scopus,Kim2024,10.1186/s12879-024-09326-9,,Low HBV knowledge is associated with low HBV vaccination uptake in general adult population despite incentivization of HBV vaccination,BMC INFECTIOUS DISEASES,BMC Infectious Diseases,2024,,,0,"['Kim TV', 'Pham TND', 'Do B', 'Dao DVB', 'Nguyen DX', 'Lee W', 'Gish R', 'Mize G', 'Trang A', 'Le A', 'Phan LTB', 'Ngo TTD', 'Phan HT', 'Nguyen BT', 'Tang HK', 'Dao DY']","['Kim Thanh Van', 'Pham Trang Ngoc Doan', 'Do Brian', 'Dao Diem Vu Bich', 'Nguyen Dan Xuan', 'Lee William', 'Gish Robert', 'Mize Gary', 'Trang Amy', 'Le Anh', 'Phan Loc Thi Bich', 'Ngo Thi-Thuy-Dung', 'Phan Hai Thanh', 'Nguyen Binh Tan', 'Tang Hong Kim', 'Dao Doan Y']",[],,[],"['Adult', 'Health knowledge', 'Hepatitis B virus', 'Incentivization', 'Lower-middle-income country', 'Vaccination', 'Viet Nam']","['Adolescent', 'Adult', 'Female', 'Health Knowledge, Attitudes, Practice', 'Hepatitis B', 'Hepatitis B Vaccines', 'Hepatitis B virus', 'Humans', 'Male', 'Middle Aged', 'Patient Acceptance of Health Care', 'Surveys and Questionnaires', 'Vaccination', 'Vietnam', 'Young Adult', 'hepatitis B vaccine', 'adolescent', 'adult', 'attitude to health', 'female', 'hepatitis B', 'Hepatitis B virus', 'human', 'immunology', 'male', 'middle aged', 'patient attitude', 'psychology', 'questionnaire', 'vaccination', 'Viet Nam', 'young adult']","Background: Hepatitis B virus (HBV) vaccination in Vietnamese adults remains low and unequally distributed. We conducted a study on HBV-naïve adults living in Ho Chi Minh City, Viet Nam, to determine barriers associated with HBV vaccination uptake after removing the financial barrier by providing free coupons for HBV vaccination. Methods: After being screened for HBsAg, anti-HBs, and anti-HBc, 284 HBV-naïve study participants aged 18 and over (i.e., negative for HBsAg, anti-HBs, and anti-HBc total) were provided free 3-dose HBV vaccine coupons. Next, study participants’ receipt of 1st, 2nd, and 3rd doses of HBV vaccine was documented at a pre-specified study healthcare facility, where HBV vaccines were distributed at no cost to the participants. Upon study entry, participants answered questionnaires on sociodemographics, knowledge of HBV and HBV vaccination, and related social and behavioral factors. The proportions of three doses of HBV vaccine uptake and their confidence intervals were analyzed. Associations of HBV vaccine initiation with exposures at study entry were evaluated using modified Poisson regression. Results: 98.9% (281 of 284) of study participants had complete data and were included in the analysis. The proportion of participants obtaining the 1st, 2nd, and 3rd doses of HBV vaccine was 11.7% (95% Confidence Interval [95% CI] 8.0-15.5%), 10.7% (95%CI 7.1–14.3%), and 8.9% (95%CI 5.6–12.2%), respectively. On the other hand, participants were more likely to initiate the 1st dose if they had adequate knowledge of transmission (adjusted relative risk [aRR] = 2.58, 95% CI 1.12–5.92), adequate knowledge of severity (aRR = 6.75, 95%CI 3.38–13.48), and annual health-checking seeking behavior (aRR = 2.04, 95%CI 1.07–3.87). Conclusion: We documented a low HBV vaccination uptake despite incentivization. However, increased vaccine initiation was associated with better HBV knowledge and annual health check-up adherence. When considering expanding HBV vaccination to the general adult population, we should appreciate that HBV knowledge is an independent predictor of vaccine uptake. © The Author(s) 2024.",24,1,,,"Kim T.V., 2024, BMC Infectious Diseases",[],,14712334,BioMed Central Ltd,,[],[],,,[],[]
